,Permit Number,Date,Status,Address,Permit Type,County,State
205,0161819,2015-12-08,Issued,6720 GREEN HOLLOW CT,"Residential Pool, Spa & Hot Tub",wake,NC
206,0120718,2011-10-09,Expired,8821 BUCKSHOT LN,"Residential Pool, Spa & Hot Tub",wake,NC
207,0121699,2012-02-29,Complete,1008 BRADLEYWOOD DR,"Residential Pool, Spa & Hot Tub",wake,NC
208,0181065,2017-09-24,Complete,2517 HUNTERS MEADOW LN,"Residential Pool, Spa & Hot Tub",wake,NC
209,0140607,2013-08-27,Complete,3409 GREENVILLE LOOP RD,"Residential Pool, Spa & Hot Tub",wake,NC
210,0110016,2010-07-05,Complete,5213 NEWSTEAD MANOR LN,"Residential Pool, Spa & Hot Tub",wake,NC
211,0112179,2011-05-03,Void,7201 WINTER POND WAY,"Residential Pool, Spa & Hot Tub",wake,NC
212,0141809,2014-01-06,Expired,1129 BLYKEFORD LN,"Residential Pool, Spa & Hot Tub",wake,NC
213,0172346,2017-02-05,Complete,1504 SWEET MEADOW LN,"Residential Pool, Spa & Hot Tub",wake,NC
214,0162335,2016-02-03,Void,5101 ROSELAND CT,"Residential Pool, Spa & Hot Tub",wake,NC
215,0111819,2011-03-22,Complete,210 LILES DEAN RD,"Residential Pool, Spa & Hot Tub",wake,NC
216,RABS-018107-2019,2019-05-08,Issued,7204 DUNCANS RIDGE WAY FUQUAY VARINA 27526,"Residential Pool, Spa & Hot Tub",wake,NC
217,RABS-029812-2019,2019-12-05,Complete,4817 FOX BRANCH CT RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
218,RABS-004197-2018,2018-08-09,Withdrawn,120 VIRGINIA CREEK DR HOLLY SPRINGS 27540,"Residential Pool, Spa & Hot Tub",wake,NC
219,0151059,2014-10-19,Complete,9509 SAULS RD,"Residential Pool, Spa & Hot Tub",wake,NC
220,0142440,2014-03-13,Complete,2500 HUNTERS MEADOW LN,"Residential Pool, Spa & Hot Tub",wake,NC
221,0100659,2009-10-04,Complete,3141 TAYLORS RIDGE RD,"Residential Pool, Spa & Hot Tub",wake,NC
222,0180119,2017-07-11,Complete,9601 CHALLEDON WAY,"Residential Pool, Spa & Hot Tub",wake,NC
223,0170325,2016-07-31,Issued,6312 CASS HOLT RD,"Residential Pool, Spa & Hot Tub",wake,NC
224,0182572,2018-02-11,Complete,7400 RIDGE FALLS LN,"Residential Pool, Spa & Hot Tub",wake,NC
225,0173676,2017-05-03,Expired,4700 TREYS CT,"Residential Pool, Spa & Hot Tub",wake,NC
226,0101065,2009-12-07,Complete,8616 SUNFLOWER MEADOWS LN,"Residential Pool, Spa & Hot Tub",wake,NC
227,0110507,2010-09-13,Void,4617 FRIENDSHIP RD,"Residential Pool, Spa & Hot Tub",wake,NC
228,0153390,2015-05-26,Complete,9705 BAILEY GROVE CT,"Residential Pool, Spa & Hot Tub",wake,NC
229,0153351,2015-05-20,Complete,10308 LOBLEY HILL LN,"Residential Pool, Spa & Hot Tub",wake,NC
230,0121222,2011-12-21,Complete,8125 CONSELLA WAY,"Residential Pool, Spa & Hot Tub",wake,NC
231,0112091,2011-04-24,Complete,3309 KIRKS GROVE LN,"Residential Pool, Spa & Hot Tub",wake,NC
232,0161648,2015-11-19,Complete,4901 STONEYOAK LN,"Residential Pool, Spa & Hot Tub",wake,NC
233,0142388,2014-03-10,Complete,4772 SWORDFISH DR,"Residential Pool, Spa & Hot Tub",wake,NC
234,0171163,2016-10-17,Complete,1024 MARGARETS LN,"Residential Pool, Spa & Hot Tub",wake,NC
235,0150789,2014-09-17,Complete,308 CARRIAGE TRL,"Residential Pool, Spa & Hot Tub",wake,NC
236,0160646,2015-08-23,Complete,9024 CHELSEA DR,"Residential Pool, Spa & Hot Tub",wake,NC
237,0132276,2013-03-24,Complete,3624 BRACKENRIDGE LN,"Residential Pool, Spa & Hot Tub",wake,NC
238,0102540,2010-06-16,Expired,5901 ROUNDER LN,"Residential Pool, Spa & Hot Tub",wake,NC
239,0130131,2012-07-15,Complete,1196 STONE KIRK DR,"Residential Pool, Spa & Hot Tub",wake,NC
240,0120661,2011-09-29,Void,5229 DEERGRASS CT,"Residential Pool, Spa & Hot Tub",wake,NC
241,0150745,2014-09-14,Void,6601 SWALLOWTAIL LN,"Residential Pool, Spa & Hot Tub",wake,NC
242,0164016,2016-06-16,Complete,2016 PAGAN RD,"Residential Pool, Spa & Hot Tub",wake,NC
243,0100626,2009-09-28,Complete,4921 TROTTER DR,"Residential Pool, Spa & Hot Tub",wake,NC
244,0102141,2010-04-29,Complete,11220 BRASS KETTLE RD,"Residential Pool, Spa & Hot Tub",wake,NC
245,0142639,2014-04-01,Complete,2025 CADENZA LN,"Residential Pool, Spa & Hot Tub",wake,NC
246,0164107,2016-06-23,Void,4800 SKYECROFT PL,"Residential Pool, Spa & Hot Tub",wake,NC
247,0181613,2017-11-12,Complete,908 EDGEWATER DR,"Residential Pool, Spa & Hot Tub",wake,NC
248,0121167,2011-12-14,Void,4000 BRITTABBY CT,"Residential Pool, Spa & Hot Tub",wake,NC
249,0122676,2012-06-21,Complete,12712 SOFTBREEZE LN,"Residential Pool, Spa & Hot Tub",wake,NC
250,0163329,2016-04-20,Complete,10728 SUNNY POINT DR,"Residential Pool, Spa & Hot Tub",wake,NC
251,0110256,2010-08-09,Complete,5527 MAPLE VIEW DR,"Residential Pool, Spa & Hot Tub",wake,NC
252,0122623,2012-06-17,Complete,2113 SUMMER AZURE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
253,0121049,2011-11-27,Issued,244 MAYORS LN,"Residential Pool, Spa & Hot Tub",wake,NC
254,0110014,2010-07-01,Complete,7752 PEGRAM ST,"Residential Pool, Spa & Hot Tub",wake,NC
255,0163370,2016-04-24,Complete,600 GRAND PRINCE LN,"Residential Pool, Spa & Hot Tub",wake,NC
256,0163203,2016-04-10,Complete,2325 PRIMROSE VALLEY CT,"Residential Pool, Spa & Hot Tub",wake,NC
257,0111930,2011-04-03,Complete,3000 CONE MANOR LN,"Residential Pool, Spa & Hot Tub",wake,NC
258,0153457,2015-06-01,Issued,2508 HUNTERS MEADOW LN,"Residential Pool, Spa & Hot Tub",wake,NC
259,0180584,2017-08-13,Complete,7429 SEXTONS CREEK DR,"Residential Pool, Spa & Hot Tub",wake,NC
260,0170518,2016-08-15,Complete,2117 BLUE HAVEN CT,"Residential Pool, Spa & Hot Tub",wake,NC
261,0101388,2010-02-02,Complete,5801 ROCK SERVICE STATION RD,"Residential Pool, Spa & Hot Tub",wake,NC
262,0170506,2016-08-14,Complete,9505 BARTONS CREEK RD,"Residential Pool, Spa & Hot Tub",wake,NC
263,0120298,2011-08-11,Complete,1608 SHARNBROOK CT,"Residential Pool, Spa & Hot Tub",wake,NC
264,0143147,2014-05-12,Complete,5809 LAUREL ROCK LN,"Residential Pool, Spa & Hot Tub",wake,NC
265,0170764,2016-09-07,Issued,4525 IRENE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
266,0142865,2014-04-21,Complete,5712 PREAKNESS PL,"Residential Pool, Spa & Hot Tub",wake,NC
267,0110255,2010-08-09,Expired,3901 HIDDEN TREE CT,"Residential Pool, Spa & Hot Tub",wake,NC
268,0121121,2011-12-07,Complete,3828 WHITE CHAPEL WAY,"Residential Pool, Spa & Hot Tub",wake,NC
269,0162854,2016-03-17,Complete,3132 LONE CREEK RD,"Residential Pool, Spa & Hot Tub",wake,NC
270,0150390,2014-08-07,Complete,5025 ARROWSPRING LN,"Residential Pool, Spa & Hot Tub",wake,NC
271,0120507,2011-09-08,Complete,4652 BARRINGTON HILLS LN,"Residential Pool, Spa & Hot Tub",wake,NC
272,0143169,2014-05-13,Complete,3200 PONTELLIER CT,"Residential Pool, Spa & Hot Tub",wake,NC
273,0101283,2010-01-18,Complete,6408 THERFIELD DR,"Residential Pool, Spa & Hot Tub",wake,NC
274,0122084,2012-04-19,Complete,1008 THREE NOTCH RD,"Residential Pool, Spa & Hot Tub",wake,NC
275,0174103,2017-06-05,Expired,4608 JERNIGAN DR,"Residential Pool, Spa & Hot Tub",wake,NC
276,0163153,2016-04-06,Complete,4515 GREENBREEZE LN,"Residential Pool, Spa & Hot Tub",wake,NC
277,0163276,2016-04-14,Complete,2308 BEAVER OAKS CT,"Residential Pool, Spa & Hot Tub",wake,NC
278,0172162,2017-01-24,Expired,2413 MAXTON CREST DR,"Residential Pool, Spa & Hot Tub",wake,NC
279,0181763,2017-11-26,Expired,2900 STUBBLE FIELD DR,"Residential Pool, Spa & Hot Tub",wake,NC
280,0102512,2010-06-13,Complete,2429 LULLWATER DR,"Residential Pool, Spa & Hot Tub",wake,NC
281,0132244,2013-03-20,Complete,6540 WAKEFALLS DR,"Residential Pool, Spa & Hot Tub",wake,NC
282,0131120,2012-11-04,Complete,6805 BLAZING SUNSET TRL,"Residential Pool, Spa & Hot Tub",wake,NC
283,0133132,2013-06-04,Complete,2100 WISLEY WAY,"Residential Pool, Spa & Hot Tub",wake,NC
284,0173283,2017-04-09,Complete,7301 WATERLOOK WAY,"Residential Pool, Spa & Hot Tub",wake,NC
285,0140258,2013-07-24,Void,7836 MELCOMBE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
286,0102224,2010-05-09,Complete,1001 HAWK HOLLOW LN,"Residential Pool, Spa & Hot Tub",wake,NC
287,0120212,2011-07-31,Complete,7312 LEDFORD GROVE LN,"Residential Pool, Spa & Hot Tub",wake,NC
288,0142009,2014-02-02,Complete,1041 BLUE LARKSPUR AVE,"Residential Pool, Spa & Hot Tub",wake,NC
289,0122681,2012-06-21,Complete,2613 OLIVE CHAPEL RD,"Residential Pool, Spa & Hot Tub",wake,NC
290,0102290,2010-05-18,Void,5612 PAINTBRUSH CT,"Residential Pool, Spa & Hot Tub",wake,NC
291,0172391,2017-02-08,Complete,621 GREAT PINE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
292,0180900,2017-09-10,Complete,3212 LEBRUN PATH,"Residential Pool, Spa & Hot Tub",wake,NC
293,0122726,2012-06-28,Complete,11909 DOC ARNOLD DR,"Residential Pool, Spa & Hot Tub",wake,NC
294,0161538,2015-11-11,Complete,3620 HERITAGE CREEK DR,"Residential Pool, Spa & Hot Tub",wake,NC
295,0181828,2017-12-03,Complete,1101 STONE KIRK DR,"Residential Pool, Spa & Hot Tub",wake,NC
296,0161247,2015-10-14,Void,216 MIDDLE CREEK PARK AVE,"Residential Pool, Spa & Hot Tub",wake,NC
297,0122510,2012-06-06,Void,11205 SADDLEWOOD CT,"Residential Pool, Spa & Hot Tub",wake,NC
298,0171670,2016-11-30,Complete,10601 FIRWOOD LN,"Residential Pool, Spa & Hot Tub",wake,NC
299,0142887,2014-04-22,Expired,4229 GREEN DRAKE DR,"Residential Pool, Spa & Hot Tub",wake,NC
300,0141650,2013-12-10,Complete,1001 LINENHALL WAY,"Residential Pool, Spa & Hot Tub",wake,NC
301,0171210,2016-10-20,Complete,121 DARTMOOR LN,"Residential Pool, Spa & Hot Tub",wake,NC
302,0131890,2013-02-17,Complete,8112 MELCOMBE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
303,0182678,2018-02-18,Complete,7905 HINTON RD,"Residential Pool, Spa & Hot Tub",wake,NC
304,0112035,2011-04-17,Void,1400 ALPINE CREEK DR,"Residential Pool, Spa & Hot Tub",wake,NC
305,0170036,2016-07-06,Complete,5809 VASSEUR CT,"Residential Pool, Spa & Hot Tub",wake,NC
306,0120299,2011-08-11,Complete,4508 FOREST DR,"Residential Pool, Spa & Hot Tub",wake,NC
307,0132514,2013-04-11,Complete,8108 MELCOMBE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
308,0120065,2011-07-12,Complete,1032 STRADSHIRE DR,"Residential Pool, Spa & Hot Tub",wake,NC
309,0140121,2013-07-14,Complete,1416 BARONY LAKE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
310,0162445,2016-02-16,Complete,14925 COVESHORE DR,"Residential Pool, Spa & Hot Tub",wake,NC
311,0132352,2013-03-31,Expired,1005 SHAE CT,"Residential Pool, Spa & Hot Tub",wake,NC
312,0122307,2012-05-14,Complete,15508 POSSUM TRACK RD,"Residential Pool, Spa & Hot Tub",wake,NC
313,0102266,2010-05-16,Complete,4723 HIGHVIEW CT,"Residential Pool, Spa & Hot Tub",wake,NC
314,0162726,2016-03-08,Complete,8208 WHISPERING GLEN LN,"Residential Pool, Spa & Hot Tub",wake,NC
315,0142373,2014-03-09,Complete,5417 WATKINS RD,"Residential Pool, Spa & Hot Tub",wake,NC
316,0121954,2012-04-03,Complete,5700 FARRAGON HILL LN,"Residential Pool, Spa & Hot Tub",wake,NC
317,0163736,2016-05-23,Complete,9016 OLD STAGE RD,"Residential Pool, Spa & Hot Tub",wake,NC
318,0171985,2017-01-03,Complete,3473 APPLE MEADOW DR,"Residential Pool, Spa & Hot Tub",wake,NC
319,0180866,2017-09-07,Complete,3000 DOMAINE DR,"Residential Pool, Spa & Hot Tub",wake,NC
320,0163735,2016-05-23,Complete,6581 WAKEFALLS DR,"Residential Pool, Spa & Hot Tub",wake,NC
321,0170698,2016-08-30,Complete,6009 OVER HADDEN CT,"Residential Pool, Spa & Hot Tub",wake,NC
322,0162133,2016-01-14,Complete,7000 HASENTREE WAY,"Residential Pool, Spa & Hot Tub",wake,NC
323,0120968,2011-11-14,Complete,2319 TILTONSHIRE LN,"Residential Pool, Spa & Hot Tub",wake,NC
324,0161914,2015-12-16,Complete,144 LU TOM LN,"Residential Pool, Spa & Hot Tub",wake,NC
325,0160478,2015-08-09,Complete,8400 PORTMARNOCK CT,"Residential Pool, Spa & Hot Tub",wake,NC
326,RABS-036870-2020,2020-04-23,Application Incomplete,4209 GRAHAMSTONE RD RALEIGH 27610,"Residential Pool, Spa & Hot Tub",wake,NC
327,RABS-020277-2019,2019-06-12,Expired,3804 TAVISTON CT WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
328,RABS-021973-2019,2019-07-16,In Review,2908 TRACTOR DR RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
329,RABS-011930-2019,2019-01-11,Withdrawn,7720 SECLUDED ACRES RD APEX 27523,"Residential Pool, Spa & Hot Tub",wake,NC
330,RABS-025273-2019,2019-09-11,Withdrawn,10761 STAGHOUND TRL ZEBULON 27597,"Residential Pool, Spa & Hot Tub",wake,NC
331,RABS-013624-2019,2019-02-13,Withdrawn,4305 BRINLEYS COVE CT RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
332,RABS-014704-2019,2019-03-06,Withdrawn,2500 KINGSLEY RD RALEIGH 27612,"Residential Pool, Spa & Hot Tub",wake,NC
333,RABS-037610-2020,2020-05-07,Withdrawn,4125 MOUNTAINBROOK RD APEX 27539,"Residential Pool, Spa & Hot Tub",wake,NC
334,RABS-038506-2020,2020-05-26,Withdrawn,5500 SPENCE PLANTATION LN HOLLY SPRINGS 27540,"Residential Pool, Spa & Hot Tub",wake,NC
335,RABS-038541-2020,2020-05-26,Withdrawn,1216 KALWORTH RD WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
336,0180757,2017-08-28,Complete,1312 EAGLESON LN,"Residential Pool, Spa & Hot Tub",wake,NC
337,RABS-013793-2019,2019-02-15,Withdrawn,2112 CAMBER DR WAKE FOREST NC 27587,"Residential Pool, Spa & Hot Tub",wake,NC
338,RABS-038079-2020,2020-05-18,Withdrawn,8042 HOGAN DR WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
339,RABS-015644-2019,2019-03-25,Complete,10513 OREGANO CT RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
340,RABS-003169-2018,2018-07-24,Denied,109 HARMONY CREEK PL APEX 27539,"Residential Pool, Spa & Hot Tub",wake,NC
341,0184309,2018-06-11,Issued,104 BELVE DR,"Residential Pool, Spa & Hot Tub",wake,NC
342,0180743,2017-08-28,Expired,1837 BOWLING GREEN TRL,"Residential Pool, Spa & Hot Tub",wake,NC
343,0174404,2017-06-27,Expired,5516 STICKLEBACK DR,"Residential Pool, Spa & Hot Tub",wake,NC
344,0152125,2015-02-05,Expired,601 BRANDYWINE CIR,"Residential Pool, Spa & Hot Tub",wake,NC
345,0173135,2017-04-02,Complete,5508 MASSEY BRANCH DR,"Residential Pool, Spa & Hot Tub",wake,NC
346,0162311,2016-02-01,Complete,1036 EVENING SHADE AVE,"Residential Pool, Spa & Hot Tub",wake,NC
347,0131549,2013-01-08,Void,6113 CHARLEYCOTE DR,"Residential Pool, Spa & Hot Tub",wake,NC
348,0131531,2013-01-07,Complete,5317 STABLEVIEW CT,"Residential Pool, Spa & Hot Tub",wake,NC
349,0110023,2010-07-05,Complete,3701 BRACKENRIDGE LN,"Residential Pool, Spa & Hot Tub",wake,NC
350,0132846,2013-05-09,Complete,1085 TACKETTS POND DR,"Residential Pool, Spa & Hot Tub",wake,NC
351,0163025,2016-03-29,Expired,2817 HAWTREE DR,"Residential Pool, Spa & Hot Tub",wake,NC
352,0163253,2016-04-13,Complete,8713 ORMAND WAY,"Residential Pool, Spa & Hot Tub",wake,NC
353,0110593,2010-09-23,Complete,1412 UPCHURCH WOODS DR,"Residential Pool, Spa & Hot Tub",wake,NC
354,0101514,2010-02-18,Complete,6616 ALIRIN LN,"Residential Pool, Spa & Hot Tub",wake,NC
355,0142866,2014-04-21,Complete,5200 NEWSTEAD MANOR LN,"Residential Pool, Spa & Hot Tub",wake,NC
356,0102189,2010-05-04,Complete,9108 DUVAL HILL ST,"Residential Pool, Spa & Hot Tub",wake,NC
357,0182382,2018-01-24,Complete,1601 DOGWOOD VIEW LN,"Residential Pool, Spa & Hot Tub",wake,NC
358,RABS-034908-2020,2020-03-16,Application Incomplete,9924 SCOTTIE DR CREEDMOOR 27522,"Residential Pool, Spa & Hot Tub",wake,NC
359,RABS-034776-2020,2020-03-12,Withdrawn,1408 BOWLING RD FUQUAY VARINA 27526,"Residential Pool, Spa & Hot Tub",wake,NC
360,RABS-020902-2019,2019-06-25,Complete,1416 UPCHURCH WOODS DR RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
361,RABS-017740-2019,2019-05-02,Complete,11923 ASCOT MANOR LN CREEDMOOR 27522,"Residential Pool, Spa & Hot Tub",wake,NC
362,0183815,2018-05-02,Issued,3216 WILBON RIDGE DR,"Residential Pool, Spa & Hot Tub",wake,NC
363,RABS-008698-2018,2018-10-31,Withdrawn,1101 EASTERLY CT RALEIGH 27615,"Residential Pool, Spa & Hot Tub",wake,NC
364,0183693,2018-04-26,Complete,5129 AVALAIRE OAKS DR,"Residential Pool, Spa & Hot Tub",wake,NC
365,RABS-017148-2019,2019-04-23,Complete,7453 SEXTONS CREEK DR RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
366,RABS-017408-2019,2019-04-26,Complete,3024 FREEMAN FARM WAY ROLESVILLE 27571,"Residential Pool, Spa & Hot Tub",wake,NC
367,0181154,2017-10-02,Complete,3112 MEGWOOD CT,"Residential Pool, Spa & Hot Tub",wake,NC
368,0131102,2012-11-01,Complete,2209 AVINSHIRE PL,"Residential Pool, Spa & Hot Tub",wake,NC
369,0164093,2016-06-22,Complete,101 BARCLIFF TER,"Residential Pool, Spa & Hot Tub",wake,NC
370,RABS-026324-2019,2019-10-01,Issued,9209 MEADOW SWEET CT RALEIGH NC 276039272,"Residential Pool, Spa & Hot Tub",wake,NC
371,RABS-004208-2018,2018-08-10,Issued,9904 HORTON RD NEW HILL 27562,"Residential Pool, Spa & Hot Tub",wake,NC
372,RABS-017935-2019,2019-05-06,Withdrawn,1416 UPCHURCH WOODS DR RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
373,0142806,2014-04-15,Expired,1101 TAVERNIER KNOLL LN,"Residential Pool, Spa & Hot Tub",wake,NC
374,RABS-017816-2019,2019-05-02,Issued,509 MYRNA LN WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
375,RABS-024381-2019,2019-08-26,Complete,5613 PINE ROCK CT WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
376,RABS-019675-2019,2019-06-05,Issued,1032 WELCH LN RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
377,RABS-026929-2019,2019-10-14,Withdrawn,7309 WANDERING SWAN LN APEX 27502,"Residential Pool, Spa & Hot Tub",wake,NC
378,0184551,2018-06-28,Complete,5509 WEATHERED ROCK CT,"Residential Pool, Spa & Hot Tub",wake,NC
379,RABS-016082-2019,2019-04-02,Issued,6629 ALIRIN LN FUQUAY VARINA 27526,"Residential Pool, Spa & Hot Tub",wake,NC
380,0184348,2018-06-13,Issued,8600 MANGUM HOLLOW DR,"Residential Pool, Spa & Hot Tub",wake,NC
381,RABS-023603-2019,2019-08-13,Withdrawn,408 LONGVIEW ST GARNER 27529,"Residential Pool, Spa & Hot Tub",wake,NC
382,RABS-024054-2019,2019-08-20,Withdrawn,200 VICTORY FALLS DR APEX 27539,"Residential Pool, Spa & Hot Tub",wake,NC
383,RABS-008159-2018,2018-10-23,Complete,5420 WINDING VIEW LN RALEIGH 27615,"Residential Pool, Spa & Hot Tub",wake,NC
384,0184412,2018-06-18,Issued,117 TOWLER RD KNIGHTDALE NC 27545,"Residential Pool, Spa & Hot Tub",wake,NC
385,0182548,2018-02-07,Complete,2225 FAWKES CREEK CT,"Residential Pool, Spa & Hot Tub",wake,NC
386,RABS-002737-2018,2018-07-16,Withdrawn,12521 VILLAGE PINES LN RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
387,RABS-019599-2019,2019-06-04,Complete,1209 SWEETCLOVER DR WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
388,0173741,2017-05-07,Issued,1117 SOUTHERN MEADOWS DR,"Residential Pool, Spa & Hot Tub",wake,NC
389,RABS-015137-2019,2019-03-14,Withdrawn,7340 SUMMER TANAGER TRL RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
390,RABS-006541-2018,2018-09-25,Complete,5109 SHIRLAND RD FUQUAY VARINA 27526,"Residential Pool, Spa & Hot Tub",wake,NC
391,0153646,2015-06-16,Issued,514 ALICANTE ST,"Residential Pool, Spa & Hot Tub",wake,NC
392,RABS-029136-2019,2019-11-19,Issued,1729 WHISPERING MEADOWS DR ZEBULON 27597,"Residential Pool, Spa & Hot Tub",wake,NC
393,RABS-005760-2018,2018-09-10,Withdrawn,4042 BERMAN EDGE RD HOLLY SPRINGS 27540,"Residential Pool, Spa & Hot Tub",wake,NC
394,RABS-003485-2018,2018-07-28,Withdrawn,220 RANDLEMAN CT HOLLY SPRINGS 27540,"Residential Pool, Spa & Hot Tub",wake,NC
395,0173831,2017-05-15,Complete,608 SEABRING LN,"Residential Pool, Spa & Hot Tub",wake,NC
396,RABS-006835-2018,2018-10-01,Complete,5433 DEN HEIDER WAY RALEIGH 27606,"Residential Pool, Spa & Hot Tub",wake,NC
397,RABS-030603-2019,2019-12-23,Issued,4040 GREEN DRAKE DR WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
398,RABS-014425-2019,2019-02-28,Issued,7340 SUMMER TANAGER TRL RALEIGH 27614,"Residential Pool, Spa & Hot Tub",wake,NC
399,0163523,2016-05-04,Issued,16021 NEW LIGHT RD,"Residential Pool, Spa & Hot Tub",wake,NC
400,RABS-013053-2019,2019-02-03,Complete,8008 DEBENHAM DR WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
401,RABS-037686-2020,2020-05-09,Issued,4005 STONE SUMMIT LN RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
402,RABS-035292-2020,2020-03-23,Complete,8516 FALKIRK RIDGE CT WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
403,RABS-010516-2018,2018-12-06,Issued,6420 LAURACA LN FUQUAY VARINA 27526,"Residential Pool, Spa & Hot Tub",wake,NC
404,RABS-043698-2020,2020-08-18,Withdrawn,3721 WESTBURY LAKE DR RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
405,RABS-031186-2020,2020-01-08,Issued,1305 PITTY PATS PATH ZEBULON 27597,"Residential Pool, Spa & Hot Tub",wake,NC
406,RABS-012945-2019,2019-01-31,Issued,3132 HUNTERS BLUFF DR RALEIGH 27606,"Residential Pool, Spa & Hot Tub",wake,NC
407,RABS-040879-2020,2020-07-02,Withdrawn,7700 JENKS RD APEX 27523,"Residential Pool, Spa & Hot Tub",wake,NC
408,RABS-030332-2019,2019-12-17,Complete,4032 KAYLOR CREEK DR APEX 27539,"Residential Pool, Spa & Hot Tub",wake,NC
409,RABS-042540-2020,2020-07-29,Withdrawn,165 CEDARCROFT DR GARNER 27529,"Residential Pool, Spa & Hot Tub",wake,NC
410,RABS-042227-2020,2020-07-23,On Hold,1521 FARTHINGALE CT RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
411,RABS-043465-2020,2020-08-13,In Review,1501 SWEET MEADOW LN RALEIGH 27613,"Residential Pool, Spa & Hot Tub",wake,NC
412,RABS-041383-2020,2020-07-10,Issued,6801 BLAZING SUNSET TRL WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
413,0184090,2018-05-23,Issued,9605 CHALLEDON WAY,"Residential Pool, Spa & Hot Tub",wake,NC
414,RABS-036244-2020,2020-04-10,Issued,14223 WYNDFIELD CIR RALEIGH 27615,"Residential Pool, Spa & Hot Tub",wake,NC
415,0170398,2016-08-07,Complete,6709 BARHAM HOLLOW DR,"Residential Pool, Spa & Hot Tub",wake,NC
416,0150046,2014-07-07,Complete,5716 ACCIPITER CT,"Residential Pool, Spa & Hot Tub",wake,NC
417,0174208,2017-06-12,Complete,3816 BOSCO RD,"Residential Pool, Spa & Hot Tub",wake,NC
418,0132269,2013-03-24,Complete,14909 COVESHORE DR,"Residential Pool, Spa & Hot Tub",wake,NC
419,0121657,2012-02-27,Complete,1004 CLARK RIDGE CT,"Residential Pool, Spa & Hot Tub",wake,NC
420,0174174,2017-06-11,Complete,7236 INCLINE DR,"Residential Pool, Spa & Hot Tub",wake,NC
421,0172763,2017-03-08,Complete,7408 TYNEWIND DR,"Residential Pool, Spa & Hot Tub",wake,NC
422,0163367,2016-04-24,Expired,6157 RIVERSIDE DR,"Residential Pool, Spa & Hot Tub",wake,NC
423,RABS-033112-2020,2020-02-13,In Review,5501 ROLLING FIELD DR GARNER 27529,"Residential Pool, Spa & Hot Tub",wake,NC
424,RABS-024437-2019,2019-08-27,Complete,1209 HANNAHS VIEW DR RALEIGH 27615,"Residential Pool, Spa & Hot Tub",wake,NC
425,RABS-044427-2020,2020-08-28,Issued,4104 GREEN DRAKE DR WAKE FOREST 27587,"Residential Pool, Spa & Hot Tub",wake,NC
426,RABS-040878-2020,2020-07-02,Complete,6600 WILLOW CHASE DR WILLOW SPRING 27592,"Residential Pool, Spa & Hot Tub",wake,NC
427,RABS-031563-2020,2020-01-16,Complete,1812 NC 39 HWY ZEBULON NC 27597,"Residential Pool, Spa & Hot Tub",wake,NC
428,RABS-044711-2020,2020-09-02,On Hold,1229 TURNER MEADOW DR RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
429,RABS-017807-2019,2019-05-02,Complete,3632 HICKORY MANOR DR APEX 27539,"Residential Pool, Spa & Hot Tub",wake,NC
430,RABS-045274-2020,2020-09-12,Withdrawn,1001 BRIELLE CT RALEIGH 27603,"Residential Pool, Spa & Hot Tub",wake,NC
431,RABS-044306-2020,2020-08-26,In Review,709 N MAIN ST ROLESVILLE 27571,"Residential Pool, Spa & Hot Tub",wake,NC
432,RABS-052498-2021,2021-01-25,Withdrawn,215 BAYBERRY WOODS DR GARNER 27529,"Residential Pool, Spa & Hot Tub",wake,NC
