"Date","Permit Number","Permit Type","Description","Status","Address",
"05/15/2019","20190512472","Residential Pool Solar System","Install Solar pool water system with auto control","Closed","3335 INDIANA RD, ROTONDA WEST FL 33947",
"05/10/2019","20190512064","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","5367 ASHWOOD RD, PORT CHARLOTTE FL 33981",
"05/09/2019","20190511957","Residential Pool Solar System","Install of Pool Solar","Closed","20231 MIDWAY BLVD, PORT CHARLOTTE FL 33952",
"05/07/2019","20190511662","Residential Pool Solar System","Install solar pool water system with manual control","Closed","131 PECKHAM ST SW, PORT CHARLOTTE FL 33952",
"05/06/2019","20190511515","Residential Pool Solar System","Solar Pool Heater","Closed","121 ORLANDO BLVD, PORT CHARLOTTE FL 33954",
"04/19/2019","20190410118","Residential Pool Solar System","SOLAR POOL HEATER","Closed","43233 WHITETAIL PATH, Punta Gorda FL 33982",
"04/18/2019","20190409945","Residential Pool Solar System","Install of Pool Solar","Closed","4062 GARDNER DR, PORT CHARLOTTE FL 33952",
"04/18/2019","20190409882","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","18809 MCGRATH CIR, PORT CHARLOTTE FL 33948",
"04/15/2019","20190409581","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","26387 MADAGASCAR RD, PUNTA GORDA FL 33983",
"04/05/2019","20190408969","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","5308 MAHONEY ST, PORT CHARLOTTE FL 33981",
"04/05/2019","20190408912","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","5349 NORLANDER DR, PORT CHARLOTTE FL 33981",
"04/02/2019","20190408591","Residential Pool Solar System","Install of Pool Solar","Closed","15280 RED HEAD AVE, PORT CHARLOTTE FL 33981",
"03/20/2019","20190307398","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT","Closed","26173 CHESTERFIELD RD, PUNTA GORDA FL 33983",
"03/19/2019","20190307345","Residential Pool Solar System","SOLAR POOL HEATER","Closed","801 CORDELE AVE, PORT CHARLOTTE FL 33948",
"03/08/2019","20190306378","Residential Pool Solar System","Install of Pool Solar","Closed","2336 HARBOUR DR, PUNTA GORDA FL 33983",
"02/27/2019","20190205410","Residential Pool Solar System","SOLAR POOL HEAT","Closed","21283 EATON AVE, PORT CHARLOTTE FL 33952",
"02/25/2019","20190205146","Residential Pool Solar System","INSTALL SOLAR POOL HEATER ON ROOF","Closed","151 CASTILE CT, PUNTA GORDA FL 33983",
"02/21/2019","20190204940","Residential Pool Solar System","INSTALL SOLAR POOL HEATER","Closed","21286 MULBERRY AVE, PORT CHARLOTTE FL 33952",
"02/18/2019","20190204445","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","10460 MONTICELLO DR, PORT CHARLOTTE FL 33981",
"02/13/2019","20190204058","Residential Pool Solar System","SOLAR POOL HEAT / NO ELECTRIC","Closed","25204 RECIFE DR, PUNTA GORDA FL 33983",
"02/11/2019","20190203756","Residential Pool Solar System","Install of Pool Solar","Closed","19590 MIDWAY BLVD, PORT CHARLOTTE FL 33948",
"02/11/2019","20190203748","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","22382 OLEAN BLVD, PORT CHARLOTTE FL 33952",
"02/08/2019","20190203673","Residential Pool Solar System","SOLAR POOL HEAT / NO ELECTRIC","Closed","27429 OBIDOS DR, PUNTA GORDA FL 33983",
"02/04/2019","20190203029","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","2845 CABARET ST, PORT CHARLOTTE FL 33948",
"01/31/2019","20190102874","Residential Pool Solar System","Install solar heat with manual control","Closed","17110 WATCHTOWER LN, PUNTA GORDA FL 33955",
"01/22/2019","20190101799","Residential Pool Solar System","INSTALLATION OF PHOTOVOLTAIC SOLAR PANELS ON ROOF","Closed","6227 GRANDEUR ST, ENGLEWOOD FL 34224",
"01/21/2019","20190101642","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","11173 GULFSTREAM BLVD, PORT CHARLOTTE FL 33981",
"01/17/2019","20190101469","Residential Pool Solar System","Install solar heat with manual control","Closed","181 LAMBERT ST, PORT CHARLOTTE FL 33948",
"01/16/2019","20190101319","Residential Pool Solar System","Install of Pool Solar","Closed","491 MATSON LN, PORT CHARLOTTE FL 33953",
"01/14/2019","20190101088","Residential Pool Solar System","Install of Pool Solar","Closed","25387 BABETTE CT, PUNTA GORDA FL 33983",
"01/10/2019","20190100776","Residential Pool Solar System","Install solar pool heater","Closed","2300 ABSCOTT ST, PORT CHARLOTTE FL 33952",
"01/08/2019","20190100642","Residential Pool Solar System","Installing Solar Panels facing south","Closed","18504 SATSUMA AVE, PORT CHARLOTTE FL 33948",
"01/03/2019","20190100146","Residential Pool Solar System","Removal of old Pool Solar System, and installation of new Pool Solar System.","Closed","17171 HORIZON LN, PORT CHARLOTTE FL 33948",
"12/19/2018","20181232729","Residential Pool Solar System","Install of Pool Solar","Closed","420 CHAMBER ST, PORT CHARLOTTE FL 33948",
"12/04/2018","20181231552","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","831 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"11/27/2018","20181130920","Residential Pool Solar System","SOLAR POOL HEATER / NO ELECTRIC","Closed","17241 GULFSPRAY CIR, PORT CHARLOTTE FL 33948",
"11/26/2018","20181130789","Residential Pool Solar System","Solar Pool Heater / No Electric","Closed","22246 PEACHLAND BLVD, PORT CHARLOTTE FL 33954",
"11/21/2018","20181130645","Residential Pool Solar System","GIROLOMO POOL SOLAR PERMIT APP","Closed","179 ANTIS DR, ROTONDA WEST FL 33947",
"11/19/2018","20181130365","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","268 ROTONDA BLVD E, ROTONDA WEST FL 33947",
"11/19/2018","20181130352","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","18447 POSTON AVE, PORT CHARLOTTE FL 33948",
"11/16/2018","20181130284","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","227 BERTHOUD ST, PORT CHARLOTTE FL 33953",
"11/15/2018","20181130217","Residential Pool Solar System","Install of Pool Solar","Closed","25231 DERRINGER RD, PUNTA GORDA FL 33983",
"11/07/2018","20181129415","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","47 SHERBOURNE ST, PORT CHARLOTTE FL 33954",
"11/05/2018","20181129208","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","4217 GROSSE POINTE DR, PORT CHARLOTTE FL 33953",
"11/05/2018","20181129145","Residential Pool Solar System","Install of Pool Solar","Closed","186 BAYTREE DR, ROTONDA WEST FL 33947",
"11/02/2018","20181129050","Residential Pool Solar System","Install of Pool Solar","Closed","184 BAYTREE DR, ROTONDA WEST FL 33947",
"10/30/2018","20181028708","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT","Closed","2924 CARIBBEAN DR, PUNTA GORDA FL 33950",
"10/19/2018","20181027843","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","15328 ALDAMA CIR, PORT CHARLOTTE FL 33981",
"10/12/2018","20181027200","Residential Pool Solar System","SOLAR POOL HEATER","Closed","2045 RIVER BASIN TER, PUNTA GORDA FL 33982",
"10/12/2018","20181027147","Residential Pool Solar System","SOLAR POOL HEATER","Closed","113 SANTAREM CIR, PUNTA GORDA FL 33983",
"09/18/2018","20180924922","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","17279 OHARA DR, PORT CHARLOTTE FL 33948",
"09/13/2018","20180924606","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","1245 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"09/13/2018","20180924508","Residential Pool Solar System","POOL HEATER INSTALL; ELECTRIC CIRCUIT","Closed","373 GRENADA ST, PORT CHARLOTTE FL 33948",
"09/06/2018","20180923973","Residential Pool Solar System","Install solar heat with auto control","Closed","16320 QUESA DR, PUNTA GORDA FL 33955",
"09/04/2018","20180923631","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","9150 PINE COVE DR, ENGLEWOOD FL 34224",
"08/27/2018","20180823020","Residential Pool Solar System","Install solar heat with auto control","Closed","18459 HOTTELET CIR, PORT CHARLOTTE FL 33948",
"08/27/2018","20180823000","Residential Pool Solar System","Install solar heat with auto control","Closed","1197 WATERSIDE ST, PORT CHARLOTTE FL 33952",
"08/21/2018","20180822435","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","16093 HILLSBOROUGH BLVD, PORT CHARLOTTE FL 33954",
"08/15/2018","20180821853","Residential Pool Solar System","Install Roof Mounted Solar PV System 6.3KW","Expired - Not Issued","9081 BENSONHURST LN, ENGLEWOOD FL 34224",
"08/15/2018","20180821851","Residential Pool Solar System","Install Roof Mounted Solor PV System 5.8KW","Expired - Not Issued","22396 DELHI AVE, PORT CHARLOTTE FL 33952",
"08/01/2018","20180820591","Residential Pool Solar System","Install solar heat with auto control","Closed","66 WHITE MARSH LN, ROTONDA WEST FL 33947",
"07/27/2018","20180720199","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","27238 HARBOUR OAKS BLVD, PUNTA GORDA FL 33983",
"07/13/2018","20180718757","Residential Pool Solar System","Install solar heat with Auto Control","Closed","36 MOORING PL, PLACIDA FL 33946",
"07/13/2018","20180718752","Residential Pool Solar System","Install solar heat with manual control","Closed","62 PINE VALLEY PL, ROTONDA WEST FL 33947",
"07/13/2018","20180718750","Residential Pool Solar System","Install solar heat with manual control","Closed","7022 ROSEMONT DR, ENGLEWOOD FL 34224",
"07/10/2018","20180718274","Residential Pool Solar System","Install solar heat with manual control","Closed","23360 KIM AVE, PORT CHARLOTTE FL 33954",
"07/09/2018","20180718228","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","11192 EULER AVE, ENGLEWOOD FL 34224",
"06/28/2018","20180617486","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT PANELS ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVESHOOKED UP TO EXISTING POOL EQUIPMENT","Closed","2183 AMARILLO LN, PUNTA GORDA FL 33983",
"06/13/2018","20180615851","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","3516 LIBERTY ST, PORT CHARLOTTE FL 33948",
"06/06/2018","20180615081","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","140 WHITE MARSH LN, ROTONDA WEST FL 33947",
"05/29/2018","20180514118","Residential Pool Solar System","Install solar heat with manual control","Closed","25864 PRADA DR, PUNTA GORDA FL 33955",
"05/22/2018","20180513598","Residential Pool Solar System","Solar Pool Heater","Closed","4373 MEAGER CIR, PORT CHARLOTTE FL 33948",
"05/17/2018","20180513268","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","1650 BLUE LAKE CIR, PUNTA GORDA FL 33983",
"05/16/2018","20180513104","Residential Pool Solar System","Install solar heat with manual control","Closed","135 REDWOOD RD, ROTONDA WEST FL 33947",
"05/16/2018","20180513102","Residential Pool Solar System","Install solar heat with auto control","Closed","11764 OCEANSPRAY BLVD, ENGLEWOOD FL 34224",
"05/14/2018","20180512804","Residential Pool Solar System","Install solar heat with auto control","Closed","387 ALBATROSS RD, ROTONDA WEST FL 33947",
"05/14/2018","20180512768","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","18147 BRAZIL AVE, PORT CHARLOTTE FL 33948",
"05/07/2018","20180512099","Residential Pool Solar System","BRASHAW POOL SOLAR PERMIT APP","Closed","75 MARKER RD, ROTONDA WEST FL 33947",
"05/04/2018","20180512033","Residential Pool Solar System","Install solar heat with manual control","Closed","145 BRIG CIR E, PLACIDA FL 33946",
"04/26/2018","20180411218","Residential Pool Solar System","Install Solar heat with auto control","Closed","130 WAHOO DR, ROTONDA WEST FL 33947",
"04/26/2018","20180411213","Residential Pool Solar System","Install solar heat with manual control","Closed","1073 HARBOUR WOOD DR, PUNTA GORDA FL 33983",
"04/26/2018","20180411093","Residential Pool Solar System","Solar Pool Heater","Closed","24182 SAVORY LN, PUNTA GORDA FL 33955",
"04/25/2018","20180410977","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","6809 GREENVIEW LN, ENGLEWOOD FL 34224",
"04/25/2018","20180410923","Residential Pool Solar System","SOLAR POOL HEATER HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","5186 FORBES TER, PORT CHARLOTTE FL 33981",
"04/24/2018","20180410813","Residential Pool Solar System","EMMART POOL SOLAR PERMIT APPLICATION","Closed","4253 RIVER BANK WAY, PORT CHARLOTTE FL 33980",
"04/19/2018","20180410407","Residential Pool Solar System","Install solar heat with auto control","Closed","12765 BUFFING RD, PORT CHARLOTTE FL 33981",
"04/19/2018","20180410378","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","334 SPRING LAKE BLVD, PORT CHARLOTTE FL 33952",
"04/16/2018","20180409975","Residential Pool Solar System","Install solar heat with manual control","Closed","195 BUNKER RD, ROTONDA WEST FL 33947",
"04/15/2018","20180409926","Residential Pool Solar System","FORTINI PS PERMIT APP","Closed","279 ROTONDA BLVD N, ROTONDA WEST FL 33947",
"04/15/2018","20180409925","Residential Pool Solar System","TURCIC PS PERMIT APP","Closed","12202 PARAMOUNT DR, PUNTA GORDA FL 33955",
"04/12/2018","20180409777","Residential Pool Solar System","Install solar heat with manual control","Closed","3278 MIDDLETOWN ST, PORT CHARLOTTE FL 33952",
"04/11/2018","20180409655","Residential Pool Solar System","SOLAR POOL HEAT","Closed","121 SEVILLE PL SW, PORT CHARLOTTE FL 33952",
"04/11/2018","20180409645","Residential Pool Solar System","Solar Pool Heater","Closed","13 LONG MEADOW LN, ROTONDA WEST FL 33947",
"04/11/2018","20180409638","Residential Pool Solar System","Solar Pool Heater","Closed","3022 WILLOW RD, PUNTA GORDA FL 33982",
"04/04/2018","20180408901","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","1170 STAMFORD ST, PORT CHARLOTTE FL 33952",
"03/29/2018","20180308374","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","177 CEYENNE ST, PUNTA GORDA FL 33983",
"03/22/2018","20180307645","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","170 APOLLO DR, ROTONDA WEST FL 33947",
"03/20/2018","20180307423","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","65 CARNATION DR, PLACIDA FL 33946",
"03/16/2018","20180307239","Residential Pool Solar System","Install Solar heat with manual control","Closed","184 N WATERWAY DR, PORT CHARLOTTE FL 33952",
"03/15/2018","20180307017","Residential Pool Solar System","SOLAR POOL HEATER HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","74 MARKER RD, ROTONDA WEST FL 33947",
"03/12/2018","20180306591","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","175 ROTONDA BLVD N, ROTONDA WEST FL 33947",
"03/09/2018","20180306494","Residential Pool Solar System","Solar Pool Heat","Closed","64 TROUTDALE ST, PORT CHARLOTTE FL 33954",
"03/08/2018","20180306367","Residential Pool Solar System","Install solar pool heat w/manual control","Closed","14124 MYAKKA POINTE DR, PORT CHARLOTTE FL 33953",
"03/08/2018","20180306364","Residential Pool Solar System","Install solar pool heat with auto control","Closed","108 PECKHAM ST SE, PORT CHARLOTTE FL 33952",
"03/08/2018","20180306350","Residential Pool Solar System","Install solar pool heat w/auto control","Closed","204 WESTWIND DR, PLACIDA FL 33946",
"03/08/2018","20180306344","Residential Pool Solar System","Install solar pool heat with auto control","Closed","18659 GOODMAN CIR, PORT CHARLOTTE FL 33948",
"03/05/2018","20180305803","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","22323 MOROCCO AVE, PORT CHARLOTTE FL 33952",
"03/01/2018","20180305604","Residential Pool Solar System","Install solar pool heat w/ manual control","Closed","230 MARINER LN, ROTONDA WEST FL 33947",
"02/27/2018","20180205226","Residential Pool Solar System","Install solar pool heat with auto control","Closed","2816 SHANNON DR, PUNTA GORDA FL 33950",
"02/27/2018","20180205179","Residential Pool Solar System","Install solar pool heat with auto control","Closed","27502 TIERRA DEL FUEGO CIR, PUNTA GORDA FL 33983",
"02/26/2018","20180205127","Residential Pool Solar System","Install solar pool heat w/manual control","Closed","10519 AZTEC RD, PORT CHARLOTTE FL 33981",
"02/16/2018","20180204236","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","5043 ADMINISTRATION ST, PORT CHARLOTTE FL 33948",
"02/09/2018","20180203507","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","17380 HOLMES AVE, PORT CHARLOTTE FL 33948",
"02/09/2018","20180203490","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","17072 OHARA DR, PORT CHARLOTTE FL 33948",
"02/08/2018","20180203367","Residential Pool Solar System","Install solar pool heat with auto control","Closed","26092 CONCEPCION DR, PUNTA GORDA FL 33983",
"02/08/2018","20180203360","Residential Pool Solar System","Install solar pool heat w/manual","Closed","268 WEST PINE VALLEY LN, ROTONDA WEST FL 33947",
"02/08/2018","20180203353","Residential Pool Solar System","Install solar pool heat w/manual","Closed","2140 LA PALMA AVE, Port Charlotte FL 33953",
"02/07/2018","20180203265","Residential Pool Solar System","INSTALL ROO FMOUNTED POOL SOLAR PANELS","Closed","5259 GUAVA TER, PORT CHARLOTTE FL 33981",
"02/07/2018","20180203230","Residential Pool Solar System","Install Solar Pool Heater","Closed","4146 LIBRARY ST, PORT CHARLOTTE FL 33948",
"02/02/2018","20180202921","Residential Pool Solar System","Solar Pool Heater","Closed","23970 CEDAR RAPIDS RD, PUNTA GORDA FL 33955",
"01/30/2018","20180102487","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","216 ARLINGTON DR, PLACIDA FL 33946",
"01/26/2018","20180102290","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","273 MARINER LN, ROTONDA WEST FL 33947",
"01/24/2018","20180102043","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","29494 CLARK DR, PUNTA GORDA FL 33982",
"01/24/2018","20180102042","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","849 LINNAEN TER, PORT CHARLOTTE FL 33948",
"01/12/2018","20180101057","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","2772 AUBURN BLVD, PORT CHARLOTTE FL 33948",
"01/11/2018","20180100914","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","219 ARLINGTON DR, PLACIDA FL 33946",
"01/11/2018","20180100894","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","10524 GREENWAY AVE, ENGLEWOOD FL 34224",
"01/10/2018","20180100831","Residential Pool Solar System","SOLAR POOL HEATER","Closed","1081 ALTON RD, PORT CHARLOTTE FL 33952",
"01/10/2018","20180100800","Residential Pool Solar System","Install solar pool heat with manual control","Closed","4 PINEHURST RD, ROTONDA WEST FL 33947",
"01/10/2018","20180100770","Residential Pool Solar System","Install solar pool heat with manual control","Closed","4390 ALBACORE CIR, PORT CHARLOTTE FL 33948",
"01/09/2018","20180100709","Residential Pool Solar System","Install solar pool heat with manual control","Closed","23983 CEDAR RAPIDS RD, PUNTA GORDA FL 33955",
"01/09/2018","20180100666","Residential Pool Solar System","Install solar pool heat with manual control","Closed","7133 SUNNYBROOK BLVD, ENGLEWOOD FL 34224",
"01/08/2018","20180100504","Residential Pool Solar System","Install solar pool heat with manual control","Closed","33 MEDALIST RD, ROTONDA WEST FL 33947",
"01/05/2018","20180100433","Residential Pool Solar System","INSTALL ROOF MOUNTEDPOOL SOLAR PANELS","Closed","874 CALVERT AVE, PORT CHARLOTTE FL 33948",
"01/05/2018","20180100406","Residential Pool Solar System","Roof mount solar pool heater - NO PHOTOVOLTAIC","Closed","6796 GREENVIEW LN, ENGLEWOOD FL 34224",
"01/03/2018","20180203028","Residential Pool Solar System",,"Expired - Not Issued",,
"01/02/2018","20180100056","Residential Pool Solar System","Roof mount solar pool heating","Closed","119 BROADMOOR LN, ROTONDA WEST FL 33947",
"12/28/2017","20171227918","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","9567 GULFSTREAM BLVD, ENGLEWOOD FL 34224",
"12/28/2017","20171227911","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","3309 ROCK CREEK DR, PORT CHARLOTTE FL 33948",
"12/28/2017","20171227903","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","349 SPRING VIEW CIR, PORT CHARLOTTE FL 33948",
"12/28/2017","20171227867","Residential Pool Solar System","Install solar pool heat with manual control","Closed","1114 CAMPBELL ST, PORT CHARLOTTE FL 33953",
"12/27/2017","20171227722","Residential Pool Solar System","Install solar pool heat with auto control","Closed","13845 LONG LAKE LN, PORT CHARLOTTE FL 33953",
"12/21/2017","20171227546","Residential Pool Solar System","SOLAR POOL HEATER PANEL REPLACEMENT HOOKED UP TO EXISTING POOL EQUIPMENTNO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","25393 JAVARI CT, PUNTA GORDA FL 33983",
"12/19/2017","20171227374","Residential Pool Solar System","Install solar pool heat with manual control","Closed","2339 LAKESHORE CIR, PORT CHARLOTTE FL 33952",
"12/15/2017","20171227132","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","9200 PINE COVE DR, ENGLEWOOD FL 34224",
"12/15/2017","20171227111","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","13425 BLAKE DR, PORT CHARLOTTE FL 33981",
"12/15/2017","20171227104","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","9564 ARNAZ CIR, PORT CHARLOTTE FL 33981",
"12/14/2017","20171227018","Residential Pool Solar System","Solar Pool Heater - No Electric","Closed","14211 EDSEL DR, PORT CHARLOTTE FL 33981",
"12/13/2017","20171226929","Residential Pool Solar System","Install solar pool heat with manual control","Closed","14365 SILVER LAKES CIR, PORT CHARLOTTE FL 33953",
"12/13/2017","20171226920","Residential Pool Solar System","Install solar pool heat with auto control","Closed","23354 JUDGE AVE, PORT CHARLOTTE FL 33980",
"11/29/2017","20171125615","Residential Pool Solar System","Install solar pool heating system","Closed","2360 STONEGATE CIR, PORT CHARLOTTE FL 33948",
"11/29/2017","20171125578","Residential Pool Solar System","Install solar pool heat with auto control","Closed","23087 MINERAL AVE, PORT CHARLOTTE FL 33954",
"11/29/2017","20171125493","Residential Pool Solar System","Install solar pool heat with auto control","Closed","373 CAPATOLA ST, PORT CHARLOTTE FL 33948",
"11/21/2017","20171125021","Residential Pool Solar System","Install solar pool heat with manual control attaching to existing","Closed","803 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"11/20/2017","20171124980","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","145 JADE ST, ROTONDA WEST FL 33947",
"11/20/2017","20171124957","Residential Pool Solar System","Install solar pool heat with manual control","Closed","449 SAN FELIX ST, PUNTA GORDA FL 33983",
"11/20/2017","20171124956","Residential Pool Solar System","Install solar pool heat with auto control","Closed","25190 NOCTURNE LN, PUNTA GORDA FL 33983",
"11/20/2017","20171124955","Residential Pool Solar System","Install solar pool heat with auto control","Closed","27030 PELOTAS DR, PUNTA GORDA FL 33983",
"11/20/2017","20171124952","Residential Pool Solar System","Install solar pool heat with auto control","Closed","1075 CANAL TER, PORT CHARLOTTE FL 33948",
"11/17/2017","20171124836","Residential Pool Solar System","Solar Pool Heater","Closed","16872 ACAPULCO RD, PUNTA GORDA FL 33955",
"11/08/2017","20171124176","Residential Pool Solar System","INSTALL SOLAR POOL HEATER","Closed","18558 ARAPAHOE CIR, PORT CHARLOTTE FL 33948",
"11/06/2017","20171123935","Residential Pool Solar System","Install solar pool heat with manual control","Closed","154 CHELSEA CT, PORT CHARLOTTE FL 33952",
"11/06/2017","20171123922","Residential Pool Solar System","Install solar pool heat with manual control","Closed","416 TORRINGTON ST, PORT CHARLOTTE FL 33954",
"11/03/2017","20171123861","Residential Pool Solar System","SOLAR POOL HEATER","Closed","93 BUNKER RD, ROTONDA WEST FL 33947",
"11/03/2017","20171123788","Residential Pool Solar System","Install solar pool heat with manual control","Closed","5311 BRYAN TER, PORT CHARLOTTE FL 33981",
"11/02/2017","20171123770","Residential Pool Solar System","Install solar pool heat with manual control","Closed","1081 FLEETWOOD DR, PORT CHARLOTTE FL 33948",
"11/01/2017","20171123643","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","2278 NUREMBERG BLVD, PUNTA GORDA FL 33983",
"11/01/2017","20171123631","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","337 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"10/31/2017","20171023531","Residential Pool Solar System","Install solar pool heat with manual control","Closed","80 MARK TWAIN LN, ROTONDA WEST FL 33947",
"10/24/2017","20171023050","Residential Pool Solar System","Install solar pool heat with manual control","Closed","18621 LAKE WORTH BLVD, PORT CHARLOTTE FL 33948",
"10/23/2017","20171022965","Residential Pool Solar System","Install solar pool heat with manual control","Closed","1050 E 2ND ST, ENGLEWOOD FL 34223",
"10/18/2017","20171022649","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","751 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"10/13/2017","20171022349","Residential Pool Solar System","Install solar pool heat with manual control","Closed","8120 LANDINGS LN, ENGLEWOOD FL 34224",
"10/05/2017","20171021668","Residential Pool Solar System","Install Solar Pool Heater","Closed","356 ORLANDO BLVD, PORT CHARLOTTE FL 33954",
"10/04/2017","20171021622","Residential Pool Solar System","Roof mount solar pool heating","Closed","137 MINAS CT, PUNTA GORDA FL 33983",
"10/02/2017","20171021357","Residential Pool Solar System","Install solar pool heat with auto control","Closed","18601 OHARA DR, PORT CHARLOTTE FL 33948",
"09/27/2017","20170921096","Residential Pool Solar System","Install solar pool heat with auto control","Closed","207 MARK TWAIN LN, ROTONDA WEST FL 33947",
"09/26/2017","20170921060","Residential Pool Solar System","Install solar pool heat with manual control","Closed","2102 TINKER ST, PORT CHARLOTTE FL 33948",
"09/26/2017","20170920999","Residential Pool Solar System","Install solar pool heat with auto control","Closed","15604 HAVANA CIR, PORT CHARLOTTE FL 33981",
