"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"12/17/2020","BB-202007751","Residential Pool","3469 KNOLLWOOD DR NW, ATLANTA GA 30305","Removal of misc hardscapes and trees for the construction of a swimming pool and spa in the rear yard. Retaining walls are proposed, along with new walkways, steps and terraces.","Kason Residence - Swimming Pool","Issued",,
"12/17/2020","BB-202007746","Residential Pool","756 SHERWOOD RD NE, ATLANTA GA 30324","INSTALLATION OF NEW SWIMMING POOL & SPA (WOOD FENCE EXISTING)","SWIMMING POOL","Issued",,
"12/17/2020","BB-202007745","Residential Pool","1008 SOMERSET DR NW, ATLANTA GA 30327","Construction of new swimming pool, spa,& pool decking with associated code compliant enclosure fencing and gates.","Allenbach Residence","Issued",,
"12/15/2020","BB-202007668","Residential Pool","1252 SWIMS VALLEY DR NW, ATLANTA GA 30327","Renovation of existing pool house and removal of existing swimming pool and replace with new pool.","Pool / Pool House","Issued",,
"12/15/2020","BB-202007666","Residential Pool","3878 CLUB DR NE, ATLANTA GA 30319","INSTALL PROPOSED SWIMMING POOL REMOVE EXISTING FRONT DRIVEWAY ADD SOD VERGE TO EXISTING DRIVEWAY REMOVE EXISTING STEPS IN REAR YARD NO TREES TO BE REMOVED OR IMPACTED","NEW POOL","Issued",,
"12/15/2020","BB-202007651","Residential Pool","1480 LANIER PL NE, ATLANTA GA 30306","INSTALLATION OF INGROUND CONCRETE POOL AND SPA (ALL OTHER STRUCTURES WERE PREVIOUSLY PERMITTED)","STEWART POOL","Issued",,
"12/15/2020","BB-202007633","Residential Pool","1740 DONCASTER DR NE, ATLANTA GA 30309","POOL, SPA, PERVIOUS PAVER POOL PATIO.","FISHER POOL","Terminated",,
"12/15/2020","BB-202007632","Residential Pool","1740 DONCASTER DR NE, ATLANTA GA 30309","POOL, SPA, PERVIOUS PAVER POOL PATIO.","FISHER POOL","Routed for Review",,
"12/09/2020","BB-202007478","Residential Pool","3779 VERMONT RD NE, ATLANTA GA 30319","INSTALLATION OF A 16' X 32 ' POOL W / SUN ROOM ON ONE SIDE . HOME IS CURRENTLY UNDERGOING RENOVATION WORK UNDER SEPARATE PERMIT  BB 202002471.","OSTENSON","Issued",,
"12/08/2020","BB-202007444","Residential Pool","997 BELLEVUE DR NE, ATLANTA GA 30306","NEW POOL & SPA(PRIMARY STRUCTURE WORK TO BE PERMITED UNDER BB-202007443)","SFR - NEW POOL & SPA","Issued",,
"12/08/2020","BB-202007422","Residential Pool","1394 LANIER PL NE, ATLANTA GA 30306","GUNITE POOL","MOULDER POOL","Issued",,
"12/08/2020","BB-202007400","Residential Pool","685 EDINBORO RD NW, ATLANTA GA 30327","INGROUND POOL, STEPS , WALKWAY","MORGAN POOL","Issued",,
"12/08/2020","BB-202007339","Residential Pool","427 PINECREST RD NE, ATLANTA GA 30342","INGROUND POOL   SPA CONCRETE PATION   STEPPING STONES","BERGER POOL","Issued",,
"12/03/2020","BB-202007243","Residential Pool","730 BUFF DR NE, ATLANTA GA 30342","600 SQ FEET POOL / 7' SPA AND 1000 SQ FT DECK","VVONG LEE  POOL","Issued",,
"12/03/2020","BB-202007239","Residential Pool","550 ST CHARLES AVE NE, ATLANTA GA 30308","BROWN POOL- NEW CONSTRUCTION SWIMMING POOL, NEW PAVED DECKING, AND 5FT CHAIN LINK FENCE. DEMOLITION OF EXISTING DRIVEWAY AND WOODEN DECK","BROWN POOL  (RES)","Routed for Review",,
"12/02/2020","BB-202007219","Residential Pool","756 CLEMONT DR NE, ATLANTA GA 30306","CONSTRUCT NEW RESIDENTIAL PRIVATE SWIMMING POOL WITH 5' FENCE AND GATE","KREBS SWIMMING POOL","Issued",,
"12/01/2020","BB-202007186","Residential Pool","1308 NORTH MORNINGSIDE DR NE, ATLANTA GA 30306","IN GROUND POOL / FENCE","LANEY POOL","Issued",,
"11/26/2020","BB-202007118","Residential Pool","1350 WEST WESLEY RD NW, ATLANTA GA 30327","BUILDING A 16'X36' SWIMMING POOL WITH CONCRETE POOL PATIO, AND FIREPIT","CALHOUN POOL","Issued",,
"11/26/2020","BB-202007116","Residential Pool","1430 WESLEY PKWY NW, ATLANTA GA 30305","INSTALL PROPOSED SWIMMING POOL, TERRACE AROUND POOL AND RAISED SPA AT SWIMMING POOL.","1430 WESLEY PKWY - POOL","Issued",,
"11/25/2020","BB-202007095","Residential Pool","1472 PINE ST NW, ATLANTA GA 30309","PROPOSED RESIDENTIAL SWIMMNG POOL (PLAN NOTE EXISTING GATE TO BE UPDATED TO MEET POOL BARRIER GATE REQUIREMENTS)","SFR - POOL","Issued",,
"11/24/2020","BB-202007078","Residential Pool","565 HEMLOCK CIR SE, ATLANTA GA 30316","RESIDENTIAL POOL","SWIMMING POOL","Issued",,
"11/23/2020","BB-202007023","Residential Pool","3498 PACES VALLEY RD NW, ATLANTA GA 30327","INGROUND POOL WITH INSET SUNKEN PATIO","CARLOS POOL","Issued",,
"11/22/2020","BB-202007017","Residential Pool","1190 EAST CLUB LN NE, ATLANTA GA 30319","RESIDENTIAL SWIMMING POOL WITH ASSOC POOL DECKING/TERRACED RETAINING WALLS, STEPS & LANDINGS/FENCING/GRADING, DRAINAGE & MISC SITE WORK, NEW SEWER LINE TO PROPOSED POOL HOUSE. POOL HOUSE PERMITTED SEPERATELY.","PECHTER RESIDENCE POOL","Issued",,
"11/18/2020","BB-202006947","Residential Pool","341 PINETREE DR NE, ATLANTA GA 30305","DEMO EXISTING POOL & POOL DECK, CONSTRUCT NEW POOL","GRANT POOL","Issued",,
"11/18/2020","BB-202006940","Residential Pool","941 GRANT ST SE, ATLANTA GA 30315","NEW IN GROUND RESIDENTIAL POOL","CRAIG BARNES RESIDENCE","Accepted",,
"11/17/2020","BB-202006925","Residential Pool","1226 MCLYNN AVE NE, ATLANTA GA 30306","INSTALLATION OF IN GROUND POOL, 6 FEET WOOD FENCE","SWIMMING POOL","Issued",,
"11/16/2020","BB-202006896","Residential Pool","1901 CAMBRIA AVE NW, ATLANTA GA 30318","INSTALL 32 X 15 POOL WITH SPA","ROVAK POOL","Accepted",,
"11/13/2020","BB-202006832","Residential Pool","1111 EDISON GARDEN NE, ATLANTA GA 30324","(AKA 2838 West Roxboro) CONSTRUCT SWIMMING POOL, SPA, DECK, WATERFALL,/GROTTO, WATERSLIDE STONE WALL, FIREPIT, ALLAN BLOCK WALL AND OUTDOOR KITCHEN","WHITE POOL (AKA 2838 West Roxboro)","Issued",,
"11/13/2020","BB-202006830","Residential Pool","3145 TOWERVIEW DR NE, ATLANTA GA 30324","RESIDENTIAL 25'6 x 11 SWIMMING POOL AND 4 x 8 SPA INSTALLATION WITH COPING AND DECKING.","SFR - SWIMMING POOL/ SPA W/ DECKING","Issued",,
"11/12/2020","BB-202006760","Residential Pool","3040 RIDGEWOOD RD NW, ATLANTA GA 30327","CONSTRUCT SWIMMING POOL. POOL TERRACE, SPA, RETAINING WALL STEPS, POOL EQUIPMENT, FENCE WITH SELF LATCHING GATE MISC SITE WORK","DUNLAP POOL","Issued",,
"11/12/2020","BB-202006751","Residential Pool","517 COBBLESTONE DR NE, ATLANTA GA 30342","CONSTRUCTION OF NEW SWIMMING POOL WITH ASSOCIATED CODE COMPLIANT ENCLOSE FENCE/ GATES.","SWIMMING POOL PERMIT","Issued",,
"11/12/2020","BB-202006746","Residential Pool","4075 GLEN DEVON DR NW, ATLANTA GA 30327","BUILD IN GROUNG POOL W / SPA , POOL DECK RETAINING WALL POOL AREA STEPSSF 525","NEWBRIDGE CUSTOM HOMES","Issued",,
"11/09/2020","BB-202006682","Residential Pool","1786 MARIETTA RD NW, ATLANTA GA 30318","30X18 deck w/stairs & landing down to L-shape deck. Prep area, install pool, Build L-shape deck around 2 sides of the pool w/stairs leading towards chicken coop. Build 2 steps off lower deck on to the drive. Install privacy fence with gate enclosing pool. Build retaining wall with radius.","Jeremy Rich","Accepted",,
"11/05/2020","BB-202006527","Residential Pool","1795 NANCY CREEK BLUFF NW, ATLANTA GA 30327","INSTALLATION OF A 19'X52' RESIDENTIAL SWIMMING POOL WITH 1' OF NATURAL STONE COPING AROUND THE POOL PERIMETER. NO POOL DECK IS BEING DONE (GRASS INSTEAD). THERE WILL ALSO BE A 4'X8' CONCREATE PAD FOR THE POOL EQUIPMENT.","1795 NANCY CREEK BLUFF RESIDENTIAL SWIMMING POOL INSTALLATION","Accepted",,
"11/04/2020","BB-202006502","Residential Pool","183 LAKE FORREST LN NE, ATLANTA GA 30342","INGROUND POOLSF 900","CRESTAR HOMES POOL","Issued",,
"11/04/2020","BB-202006489","Residential Pool","138 EAST WESLEY RD NE, ATLANTA GA 30305","CONSTRUCT NEW SWIMMING POOL AND RETAINING WALL","RAGLAND-DICKERSON POOL AND TIMBER WALL","Issued",,
"11/02/2020","BB-202006408","Residential Pool","823 GLENDALE TER NE, ATLANTA GA 30308","Construct in-ground swimming pool","Manjos Swimming Pool","Issued",,
"10/30/2020","BB-202006318","Residential Pool","4550 CLUB VALLEY DR NE, ATLANTA GA 30319","SITE PREP AND INSTALL OF INGROUND SWIMMING POOL AND ASSOCIATED STONE PATIO.","TAGTACHIAN POOL","Issued",,
"10/27/2020","BB-202006232","Residential Pool","1055 WEST WESLEY RD NW, ATLANTA GA 30327","Construct new swimming pool. BB-202002708-current sfr permit","Pool","Issued",,
"10/26/2020","BB-202006214","Residential Pool","1372 FAIRVIEW RD NE, ATLANTA GA 30306","INTERIOR  RENOV. & ADDITIONS. DRIVEWAY REPLACEMENT. PROPOSED POOL AND POOL DECK, RETAINING WALLS, TERRACES, STEPS & WALKS. TREE REMOVAL, GRADING, & MISC SITE WORKHAS UDC APPROVAL","A RENOVATED RESIDENCE  / POOL ADDITION","Issued",,
"10/22/2020","BB-202006152","Residential Pool","98 BLACKLAND DR NW, ATLANTA GA 30342","Pool, 24"" wing walls","Thompson Pool","Issued",,
"10/21/2020","BB-202006135","Residential Pool","2906 GRANDVIEW AVE NE, ATLANTA GA 30305","NEW 820 SQ FT CONCRETE POOL, NEW RETAINING WALL AND POOL DECK","SFR - NEW POOL & RETAINING WALL","Posted",,
"10/20/2020","BB-202006067","Residential Pool","340 BRENTWOOD DR NE, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL. PAVILLION, LANDSCAPING AND FENCING","POOL/PAVILLION/LANDSCAPING AND FENCING","Issued",,
"10/19/2020","BB-202006040","Residential Pool","205 VALLEY RD NW, ATLANTA GA 30305","Construct pool and spa at rear of house and misc. site work.","Greenberg Pool","Routed for Review",,
"10/19/2020","BB-202006038","Residential Pool","751 SHERWOOD RD NE, ATLANTA GA 30324","Pool & Spa, Fence","Berger Pool","Issued",,
"10/14/2020","BB-202005922","Residential Pool","1818 WEST WESLEY RD NW, ATLANTA GA 30327","POOL, FENCE , MISC SITE WORK V-20-93 , REPLACE PORTIONS  OF EXISTING DRIVEWAY","PREVOST POOL","Issued",,
"10/12/2020","BB-202005868","Residential Pool","1665 WEST WESLEY RD NW, ATLANTA GA 30327","A new pool will be constructed along with a new terrace, walls and the associated grading.","Bennett Residence (Pool)","Issued",,
"10/09/2020","BB-202005838","Residential Pool","1072 CUMBERLAND RD NE, ATLANTA GA 30306","Construct new swimming pool","Gurevich/Bryant Pool Project","Accepted",,
"10/09/2020","BB-202005837","Residential Pool","1215 PASADENA AVE NE, ATLANTA GA 30306","CONCRETE IN-GROUND SWIMMNG POOL, AUTOMATIC POOL COVER, WALL 24"" HT, STEPS, PATIO, POOL EQUIPMENT.","SFR - POOL (w/ PATIO & EQUIPMENT)","Issued",,
"10/09/2020","BB-202005835","Residential Pool","820 HAVEN OAKS CT NE, ATLANTA GA 30342","CONSTRUCTION OF A 16 X 37 FIBERGLASS UNDERGROUND RESIDENTIAL SWIMMNG POOL WITH  400 SQ FT PAVING/ STONE DECKING.","SFR - CARTER RESIDENTIAL POOL","Accepted",,
"10/09/2020","BB-202005834","Residential Pool","273 PROSPECT PL NE, ATLANTA GA 30312","INSTALLATION OF NEW IN-GROUND SWIMMING POOL","273 PROSPECT PLACE - IN-GROUND SWIMMING POOL","Issued",,
"10/06/2020","BB-202005772","Residential Pool","50 SOUTH PRADO NE, ATLANTA GA 30309","IN-GROUND CONCRETE SWIMMING POOL, SPA, POOL COVER, EQUIP, CONC STEPS, <30"" HT RETAINING WALL, FREE STANDING WALL, FENCE, STONE STEPS, OUTDOOR KITCHEN, BATHROOM UNDER STEPS, PLUMBING, ELECTRICAL OUTLETS, GAS LANTERNS/GRILLSF 808","50 S PRADO NE - POOL","Issued",,
"10/06/2020","BB-202005767","Residential Pool","1912 BRANTLEY WALK LN NW, ATLANTA GA 30318","POOL 25 X 12 300 SQ FT GATE . FENCE AND DECK.   RETAINING WALL LESS THAN 4 FEET IN HEIGHT","POOL","Issued",,
"10/04/2020","BB-202005711","Residential Pool","1476 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","IN GROUND POOL WITH SPA","MOGILL POOL","Issued",,
"09/30/2020","BB-202005651","Residential Pool","3091 RHODENHAVEN DR NW, ATLANTA GA 30327","Inground pool and Spa, walls V-20-33","Howell Pool","Posted",,
"09/25/2020","BB-202005518","Residential Pool","4408 REID LN, ATLANTA GA","New swimming pool and spa construction","Gabriel Wood","Issued",,
"09/25/2020","BB-202005501","Residential Pool","699 NORFLEET RD NW, ATLANTA GA 30305","In ground pool and spa","Deus","Issued",,
"09/24/2020","BB-202005491","Residential Pool","1107 MCLYNN AVE NE, ATLANTA GA 30306","NEW POOL","1107 MCLYNN AVENUE - POOL","Issued",,
"09/24/2020","BB-202005467","Residential Pool","400 PINETREE DR NE, ATLANTA GA 00000","Construction of a residential pool and spa with paver patio","Ide Residence Pool","Issued",,
"09/24/2020","BB-202005463","Residential Pool","4521 CLUB VALLEY DR NE, ATLANTA GA 30319","POOL , SPA , FENCE AND MISC SITE WORK.","TREVETT POOL","Issued",,
"09/23/2020","BB-202005439","Residential Pool","2118 MEMORIAL DR SE, ATLANTA GA 30317","New residential swimming pool only","Engle Pool","Issued",,
"09/23/2020","BB-202005438","Residential Pool","2912 ST PATRICK ST SE, ATLANTA GA 30317","Inground gunite pool with inset spa, pool patio, and 36"" high wall (V-20-032 Approved-active recreation adjacent to the street)","Macklin Pool","Issued",,
"09/23/2020","BB-202005435","Residential Pool","390 BLANTON RD NW, ATLANTA GA 30342","FRONT PORCH , REAR PORCH WITH GAS FIREPLACE , SWIMMING POOL , CHANGE GARAGE DOOR AND RECONFIGURE DRIVEWAY.","390 BLANTON RD NW","Issued",,
"09/22/2020","BB-202005392","Residential Pool","765 WOODLEY DR NW, ATLANTA GA 30318","Pool and pool deck addition. Existing permit (BB-202004893) Retaining walls and steps will be done by landscape contractor","Jones Residence POOL","Issued",,
"09/22/2020","BB-202005391","Residential Pool","416 GOLF VIEW RD NW, ATLANTA GA 30309","Inground gunite pool with spa","Walsey Pool","Issued",,
"09/22/2020","BB-202005379","Residential Pool","1894 WELLBOURNE DR NE, ATLANTA GA 30324","INSTALL INGROUND POOL AND SPA","SFR - HAYBURN INGROUND POOL AND SPA","Issued",,
"09/21/2020","BB-202005358","Residential Pool","699 STOVALL BLVD NE, ATLANTA GA 30342","SWIMMING POOL INSTALLATION","SWIMMING POOL","Accepted",,
"09/17/2020","BB-202005244","Residential Pool","595 SHERWOOD RD NE, ATLANTA GA 30324","INGROUND GUNITE POOL WITH SPA","SHERWOOD RD POOL","Terminated",,
"09/16/2020","BB-202005210","Residential Pool","1632 CLIFTON TER NE, ATLANTA GA 30307","POOL 600 SQ FT . POOL DECK  AND OUTDOOR BAR AND GRILL","AMETT POOL","Issued",,
"09/15/2020","BB-202005173","Residential Pool","4406 TREE HAVEN DR NE, ATLANTA GA 30342","EXCAVATION FOR AN APPROXIMATE 800 SQ FT POOL 40 X 20 CUSTOM ARCHITECTURAL-SHAPED SWIMMING POOL.  120 PERIMETER TO BE CONSTRUCTED OUT OF SHOTCRETE WITH SPA","SFR - FORSTER POOL & SPA","Issued",,
"09/15/2020","BB-202005159","Residential Pool","709 RALPH MCGILL BLVD NE, ATLANTA GA 30312","Residential pool, 7' x 13', in the rear yard of a single family residence.  Scope includes the pool, pool deck, surrounding fence with gate, and pool equipment.","POOL 709 RALPH MCGILL","Accepted",,
"09/14/2020","BB-202005142","Residential Pool","4049 WIEUCA RD NE, ATLANTA GA 30342","BUILD IN GROUND POOL , SPA AND FIRE PIT.","JOHNSON POOL","Issued",,
"09/14/2020","BB-202005136","Residential Pool","1240 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","PROPOSED RESIDENTIAL SWIMMING POOL","1240 PEACHTREE  BATTLE AVE","Accepted",,
"09/11/2020","BB-202005123","Residential Pool","2670 BATTLE OVERLOOK NW, ATLANTA GA 30327","CONSTRUCT IN GROUND SWIMMING POOL & SPA","LAWAND","Issued",,
"09/11/2020","BB-202005112","Residential Pool","3775 NORTH STRATFORD RD NE, ATLANTA GA 30342","CONSTRUCTION OF RESIDENTIAL SWIMMING POOL, POOL DECK, EQUIPMENT AND ASSOCIATED NECESSARY SITE WORK","BANNER RESIDENCE - POOL","Issued",,
"09/10/2020","BB-202005065","Residential Pool","3675 HADDON HALL RD NW, ATLANTA GA 30327","DEMO EXISTING PATIO AND SITE WALL . GRADING NEW POOL,NEW RETAINING WALL AND NEW POOL DECK","SFR POOL , POOL DECK  AND RETAINING WALL","Issued",,
"09/09/2020","BB-202005058","Residential Pool","335 EPPINGTON DR NW, ATLANTA GA 30327","Install inground heated shotcrete pool w/ 42"" retaining wall and firepit","BEEN","Issued",,
"09/08/2020","BB-202005019","Residential Pool","708 EAST MORNINGSIDE DR NE, ATLANTA GA 30324","SWIMMING POOL","SFR - BAHMAN SWIMMING POOL","Issued",,
"09/04/2020","BB-202004997","Residential Pool","3905 THE HIGHLANDS NW, ATLANTA GA 30327","INSTALL POOL AND SPA TUB AT THE REAR OF NEW RESIDENTIAL CONSTRUCTION.  POOL  VARIES FROM 4  TO 6 FEET DEEP, CONCRETE SUPPORT VAULT TO BE INSTALLED PRIOR TO POOL SHELL.(bb201810078)","SFR - TOLMARE POOL & SPA","Issued",,
"09/04/2020","BB-202004994","Residential Pool","1123 BERKSHIRE RD NE, ATLANTA GA 30306","CONSTRUCT INGROUND GUNITE POOL(ALL OTHERS IMPROVEMENTS ARE BY OTHERS)","EHLERS POOL","Issued",,
"09/03/2020","BB-202004965","Residential Pool","1156 VICKERS ST SE, ATLANTA GA 30316","RESIDENTIAL SWIMMING POOL WITH DECKING","SFR - POOL & POOL DECK","Routed for Review",,
"09/03/2020","BB-202004933","Residential Pool","864 VERA ST SE, ATLANTA GA 30316","Install pool & Fence","Pool","Issued",,
"09/03/2020","BB-202004932","Residential Pool","595 SHERWOOD RD NE, ATLANTA GA 30324","Swimming Pool permit, fencing w/gate","Swimming Pool","Issued",,
"09/02/2020","BB-202004924","Residential Pool","2693 KNOX ST NE, ATLANTA GA 30317","Installation of 16x32 rectangle shaped vinyl liner inground swimming pool in rear yard in 10"" thick poured concrete walls.","Pool","Issued",,
"09/02/2020","BB-202004898","Residential Pool","1849 LAKEWOOD TER SE, ATLANTA GA 00000","Inground vinyl liner swimming pool","Thomas Pool Project","Issued",,
"09/01/2020","BB-202004890","Residential Pool","3211 ARGONNE DR NW, ATLANTA GA 30305","In ground Swimming Pool","Pool","Issued",,
"09/01/2020","BB-202004885","Residential Pool","1485 MOORES MILL RD NW, ATLANTA GA 30327","IN-GROUND POOL WITH SPA","LUMRY RESIDENCE - POOL","Issued",,
"09/01/2020","BB-202004858","Residential Pool","147 HUNTINGTON RD NE, ATLANTA GA 30309","Construct inground swimming pool, patio and pool equipment RC-20-190","Kleninhelter","Issued",,
"09/01/2020","BB-202004853","Residential Pool","3311 GRANT VALLEY RD NW, ATLANTA GA 30305","The scope of work includes the demo of the existing driveway and miscellaneous hardscpaes, the construction of a swimming pool, pool deck, driveway, retaining wall, and associated grading. Attached garage addition.","Alexander Residence","Issued",,
"08/28/2020","BB-202004788","Residential Pool","1802 FLAGLER AVE NE, ATLANTA GA 30309","SWIMMING POOL AND STONE DECKING/ STONE RETAINING WALL 3O"" HIGH/ PARTIAL DRIVEWAY REMOVAL STONE PLANTER 30"" HIGH","SFR - POOL/ RETAINING WALL/ DRIVEWAY","Issued",,
"08/28/2020","BB-202004779","Residential Pool","11 BARKSDALE DR NE, ATLANTA GA 30309","INSTALL NEW RESIDENTIAL POOL","11 BARKSDALE  ( POOL )","Issued",,
"08/28/2020","BB-202004768","Residential Pool","457 LAKESHORE DR NE, ATLANTA GA 30307","INGROUND , 60' X 7' LAP POOL","PERCIFIED POOL","Issued",,
"08/25/2020","BB-202004684","Residential Pool","1091 MCLYNN AVE NE, ATLANTA GA 30306","Swimming Pool and Retaining Wall","Bass Residence (Pool/Retaining Wall)","Issued",,
"08/25/2020","BB-202004666","Residential Pool","8 PARKSIDE CT NW, ATLANTA GA 30342","INSTALL INGROUND SHOTCRETE POOL    (V-20-63)","SCHARFFER POOL (V-20-63)","Issued",,
"08/25/2020","BB-202004660","Residential Pool","744 MOORES MILL RD NW, ATLANTA GA 30327","Rear yard landscape renovation to include - Swimming pool, retaining wall, stone stairs & walkway","Pool, retaining wall rear yard landscaping","Issued",,
"08/25/2020","BB-202004656","Residential Pool","1165 MCLYNN AVE NE, ATLANTA GA 30306","IN GROUND POOL AND POOL DECK / PATIO ONLY","1165 MCLYNN AVE ( POOL )","Issued",,
"08/19/2020","BB-202004536","Residential Pool","4370 DAVIDSON AVE NE, ATLANTA GA 30319","RENOVATE EXISTING DECK , ADD SCREEN PORCH , ADD POOL AND REPLACE DRIVEWAY","RIVAS' POOL AND DECK / SCREEN PORCH","Issued",,
"08/19/2020","BB-202004535","Residential Pool","1270 WESLEY PL NW, ATLANTA GA 30327","INSTALL INGROUND SWIMMING POOL & SPA(POOL 38 X 18)  (SPA 10 X 6 )","SFR - POOL & SPA","Issued",,
"08/18/2020","BB-202004524","Residential Pool","539 MANOR RIDGE DR NW, ATLANTA GA 30305","Construct inground pool with spa and 3 foot tall block wall/demo existing patio and pathway","Dallaire Pool","Issued",,
"08/18/2020","BB-202004521","Residential Pool","27 MADDOX DR NE, ATLANTA GA 30309","INSTALL PROPOSED SWIMMING POOL, REMOVE EXISTING SITE RETAINING WALLS, INSTALLLAWN TERRACE AROUND POOL, INSTALL STEPS TO REAR YARD BESIDE POOLGRADE LAWN TERRACE USING POOL DIG SOIL ONSITE","Faulk Mullaney Pool","Accepted",,
"08/16/2020","BB-202004487","Residential Pool","4243 LAKEHAVEN DR NE, ATLANTA GA 30319","POOL AND POOL DECK , RECONFIGURE DRIVEWAY EXPAND MOTOR COURT , RETAINING WALLS AND STORM WATER MANAGEMENT....REAR TERRACE.","WOOD POOL AND MISC SITE WORK","Issued",,
"08/14/2020","BB-202004476","Residential Pool","653 CLIFTON RD SE, ATLANTA GA 30316","CONSTRUCTION OF NEW INGROUND SWIMMING POOL, SPA, AND RETAINING WALL","SFR - JACOBS POOL","Issued",,
"08/14/2020","BB-202004466","Residential Pool","394 7TH ST NE, ATLANTA GA 30308","IN-GROUND SWIMMING POOL AND SPA","KRIS AND JAMIE BONDS POOL PROJECT","Issued",,
"08/13/2020","BB-202004447","Residential Pool","50 TUXEDO TER NW, ATLANTA GA 30342","CONSTRUCTION OF NEW POOL (622 SQFT POOL), 7' SPA., (18' X 18') CABANA, RETAINING WALLS, FIREPLACE, MASONRY BAR, & (1200 SQFT) WD DECK","ROYAL POOL","Issued",,
"08/12/2020","BB-202004419","Residential Pool","3791 NORTH STRATFORD RD NE, ATLANTA GA 30342","Construction of new in-ground pool with sunken spa.","Pool","Issued",,
"08/11/2020","BB-202004410","Residential Pool","611 EAST PACES FERRY RD NE, ATLANTA GA 30305","Construct new inground swimming pool","Biechteler","Issued",,
"08/11/2020","BB-202004403","Residential Pool","578 EAST AVE NE, ATLANTA GA 30312","INSTALL IN GROUND CONCRETE HEATED POOL","578 EAST AVENUE NE","Issued",,
"08/08/2020","BB-202004357","Residential Pool","1008 ALBION AVE NE, ATLANTA GA 30307","CONSTRUCT GUNITE POOL AND SPA","SFR - NEW POOL (CA2S-20-158)","Issued",,
"08/05/2020","BB-202004289","Residential Pool","344 LAKE FORREST LN NE, ATLANTA GA 30342","Construct pool. pool deck. fence & equipment with misc site work","Lake Forrest Pool","Issued",,
"08/05/2020","BB-202004278","Residential Pool","1829 WEST WESLEY RD NW, ATLANTA GA 30327","INGROUND POOL, 36 X 18 WITH BARRIER COMPLIANT AUTO-COVER","EVELYN KNAPP - POOL","Issued",,
"08/03/2020","BB-202004198","Residential Pool","3959 WIEUCA RD NE, ATLANTA GA 30342","New Pool, terrace, retaining wall, in rear yard and add verge in existing concrete driveway. Remove existing side deck.","New Pool","Accepted",,
"08/03/2020","BB-202004195","Residential Pool","1160 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","NEW POOLDEMO BB-201905649","NEW POOL","Terminated",,
"07/30/2020","BB-202004157","Residential Pool","3171 RIDGEWOOD RD NW, ATLANTA GA 30327","REMOVE A PORTION OF THE EXISTING DRIVEWAY, VARIOUS WALLS AND WALKS. CONSTRUCT NEW POOL BATH BUILDING AND POOL EQUIPMENT/ STORAGE BUILDING PER ARCH DRAWINGS, SWIMMING POOL AND SPA, RETAINING WALLS, TERRACES, STEPS & WALKS AS SHOWN.  TREE REMOVAL, GRADING, AND MISC SITE WORK","SFR - POOL & MISC SITE","Issued",,
"07/30/2020","BB-202004153","Residential Pool","1429 WESSYNGTON RD NE, ATLANTA GA 30306","Pre-grade, install in-ground swimming pool with flush spa. Install concrete patio along side pool, pool will have raised beam, install retaining wall to connect the pool raise bean to existing wing wall. install privacy fence to enclose pool area","Mazor Residence","Complete",,
"07/30/2020","BB-202004137","Residential Pool","2777 RIDGEWOOD RD NW, ATLANTA GA 30327","CONSTRUCT NEW IN GROUND SWIMMING POOL,PATIO AND POOL EQUIPMENT","PHILLIPS","Issued",,
"07/29/2020","BB-202004129","Residential Pool","236 PEACHTREE WAY NE, ATLANTA GA 30305","Construct in ground swimming pool with deck","Guitar Pool Project","Accepted",,
"07/27/2020","BB-202004074","Residential Pool","3300 RILMAN RD NW, ATLANTA GA 30327","CONSTRUCT POOLBB-202003027 BASEMENT, BB-20190426 NEW HOUSE","RILMAN - LOT 1 POOL","Issued",,
"07/22/2020","BB-202003959","Residential Pool","709 RALPH MCGILL BLVD NE, ATLANTA GA 30312","Residential pool 7' x 13'","Ralph McGill Pool","Accepted",,
"07/19/2020","BB-202003895","Residential Pool","39 ALDEN AVE NW, ATLANTA GA 30309","INSTALL IN-GROUND HEATED SHOTCRETE POOL AND OUTDOOR FIREPLACE","SFR: MCPHERSON POOL & OUTDOOR FIREPLACE","Issued",,
"07/19/2020","BB-202003892","Residential Pool","142 INTERLOCHEN DR NE, ATLANTA GA 30342","POOL & SPA","SFR - SINHA POOL","Routed for Review",,
"07/18/2020","BB-202003891","Residential Pool","619 ROSALIA ST SE, ATLANTA GA 30312","CONSTRUCTION OF SWIMMING POOL (IN GROUND), WOOD COMPOSITE DECK, AND WOOD PATIO COVER","REVELAS POOL","Issued",,
"07/15/2020","BB-202003814","Residential Pool","274 BLANTON RD NW, ATLANTA GA 30342","INSTALL IN GROUND POOL HEATED SHOTCRETE POOL","POOL KARETSOS","Issued",,
"07/13/2020","BB-202003792","Residential Pool","55 AVERY DR NE, ATLANTA GA 30309","Pool with inset spa concrete pool deck/patio, prefab slash pad walls and steps","Shannon Pool","Issued",,
"07/11/2020","BB-202003745","Residential Pool","2430 HYDE MANOR DR NW, ATLANTA GA 30327","Construct a new inground swimming pool, patio and pool equipment","Ross","Issued",,
